addr,rooms,ruler,floor,price,descr,lat,lon
Arzumanyan,3 room,78 m2, floor 4/9 ," Sale - 95,000 $ "," For sale is a 2-bedroom, 1-bathroom bright apartment with an area of 78 sqm on the 4th floor of a 9-story panel building (Yerevan DSK) on Arzumanyan Street in Achapnyak. The apartment is completely renovated, not inhabited, local heating and air conditioning systems are installed, the floor is covered with press granite. The bathroom is tiled and equipped with high-quality plumbing. The apartment is furnished in a modern style, there are built-in closets. Sold with furniture and appliances. ",40.19385404,44.46943048
Nalbandyan,1 room,47 m2, floor 6/7 , Sale - on request ," For sale is a 1-bedroom, 1-bathroom apartment with an area of 47 sqm on the 6th floor of a 7-story stone building of a special project at the intersection of Sayat-Nova Avenue and Nalbandian Street. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with heated tiles. The bathroom is lined with European tiles and equipped with plumbing fixtures. The apartment is furnished in a modern style, equipped with household appliances. There is an open balcony with a beautiful view. The building has an elevator. There is a parking place in the yard. Sold with furniture and appliances. ",40.18200487,44.52024572
Kajaznuni,3 room,98 m2, floor 8/11 ," Sale - 105,000 $ "," For sale is a 2-bedroom, 1-bathroom apartment with an area of 98 sqm on the 8th floor of an 11-story panel house on Kajaznuni Street. The apartment is furnished with expensive furniture and equipped with high-quality appliances. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality laminate and tiles. The kitchen and bathroom are tiled and equipped with plumbing fixtures. The building has an elevator. There are shops and banks nearby. Sold with kitchen furniture. ",40.16949432,44.519536
Abovyan,1 room,54 m2, floor 3/6 ," Sale - 103,500 $ "," For sale is a 1-bedroom, 1-bathroom apartment with an area of 54 sqm on the 3rd floor of a 6-story building on Abovyan Street, near Isahakyan Street. The apartment is completely renovated, not inhabited. A local heating system is installed, the floor is covered with laminate and tiles. The bathroom is finished with European tiles and equipped with high-quality plumbing. Nearby there are shops, banks, cafes and entertainment venues. ",40.18695692,44.52352243
A. Aharonyan,3 room,95 m2," floor 7/15 , new construction "," Sale - 118,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 95 sqm on the 7th floor of a 15-story new building on Avetis Aharonyan Street. The apartment is not inhabited, the floor is covered with high-quality laminate and tiles. Both bathrooms are lined with Spanish tiles and equipped with plumbing fixtures. There are 2 open balconies with beautiful views. There are 2 elevators in the building. Not far from the house there are shops, a school, a kindergarten and transport stops. ",40.20737558,44.53329047
Y.Koghbatsi,2 room,64 m2," floor 17/18 , new construction "," Sale - 249,000 $ "," For sale is a well-lit 1-bedroom, 1-bathroom apartment with an area of 64 sqm on the 17th floor of a 18-story building on Koxbaci Street. The apartment is completely renovated, panoramic windows are installed, the floor is covered with laminate and tiles, the bathroom is lined with European tiles and equipped with plumbing. Heating is provided by a centralized system, air conditioners are installed. The apartment is provided with high-quality furniture and household appliances. There is an open balcony with a beautiful view. The building has an elevator and a security system. Sold with furniture and appliances. Nearby there are banks, shops, cafes and entertainment venues. ",40.18196373,44.51150448
Mantashyan 2,2 room,110 m2, floor 4/5 ," Sale - 85,000 $ "," For sale is a spacious, well-lit 1-bedroom, 1-bathroom apartment with an area of 110 sqm on the 4th floor of a 5-story building on Mantashyan Street. The apartment is completely renovated, the floor is covered with high-quality oak parquet. The kitchen and bathroom are lined with European tiles and equipped with plumbing fixtures. The apartment is provided with high-quality furniture and household appliances. There are 2 enclosed balconies with two-way views. Sold with Italian kitchen furniture. In the yard there is a stone garage worth $5000. ",40.148323,44.492182
Sayat-Nova ave.,3 room,93 m2," floor 12/22 , new construction "," Sale - 245,000 $ "," For sale is a 2-bedroom, 2-bathroom apartment with an area of 93 sqm on the 12th floor of a 22-story elite new building at the intersection of Sayat-Nova Avenue and Abovyan Street. The apartment is completely renovated, connected to central heating and cooling systems, the floor is covered with laminate and tiles. Both bathrooms are lined with European tiles and equipped with high-quality plumbing. The apartment is furnished and equipped with modern household appliances. The building has 3 elevators and a security system. Nearby there are shops, banks, schools, cafes and entertainment venues. ",40.182679,44.519517
A. Myasnikyan ave.,3 room,93 m2," floor 8/16 , new construction "," Sale - 135,000 $ "," For sale is а 2-bedroom, 2-bathroom apartment with an area of 93 sqm on the 8th floor of a 16-story new monolithic building on Myasnikyan Avenue. The apartment is completely renovated, the central heating system is installed, there are air conditioners, the floor is covered with high-quality laminate and tiles. There is an open balcony with a beautiful view. Both bathrooms are tiled and equipped with plumbing fixtures. The rooms and kitchen are modernly furnished and equipped with high-quality appliances. The building has a working elevator and a security system. The yard is well maintained with a green area. There is an underground parking for an additional fee. Sold with furniture and appliances. ",40.193133,44.53764193
Moskovyan,2 room,80 m2, floor 1/4 ," Sale - 185,000 $ "," For sale is a 1-bedroom, 1-bathroom sunny apartment with an area of 80 sqm on the high 1st floor of a 4-story stone building of the Stalin-era project at the intersection of Byron and Moskovyan streets, near the Opera House. The apartment is in state condition. The ceiling height is 3.5 m. The bathroom is tiled and equipped with plumbing. There is a closed balcony. Entrance is from the street. Nearby there are shops, banks, schools, cafes and entertainment venues. ",40.18754208,44.51853341
Arami,3 room,113 m2," floor 10/16 , new construction "," Sale - 355,000 $ "," For sale is a spacious 2-bedroom, 1-bathroom apartment with an area of 113 sqm on the 10th floor of a 16-story new monolithic building on Arami Street, near Malibu Park. The apartment is completely renovated, furnished with comfortable high-quality furniture and equipped with household appliances. Heating is carried out centrally. Air conditioning is installed, the floor is covered with high-quality oak parquet. The bathroom is lined with European tiles and equipped with plumbing fixtures. The apartment has a dressing room and 2 open balconies with a beautiful view of the park. The house has 2 elevators, a security system is installed. Near the building there are various shops, entertainment centers, cafes, banks. Sold with all furniture and appliances. ",40.18226258,44.50833205
Totovents 15,3 room,115 m2, floor 1/5 ," Sale - 85,000 $ "," A 2-bedroom, 2-bathroom apartment of 115 sq. m. is for sale on the 1st floor of a 5-storey stone house on Totovents Street, Nor Nork. The apartment is completely renovated. The apartment is fully repaired, its basement was also converted into living space with one room and a bathroom, local heating system is installed, the floor is covered with parquet and tiles, bathrooms are tiled and equipped with sanitary ware. The apartment is sold with furniture. ",40.205598,44.570344
Abovyan,3 room,105 m2," floor 6/11 , new construction "," Sale - 275,000 $ ", Two - bedroom apartment on Abovyan - Nalbandyan crossroads is currently for sale. It covers an area of 105 sq.m. and occupies the 6th floor of a new residential 11 storey building. The apartment is renovated. Local heating system and air conditioner are installed. All the rooms are furnished and equipped with the necessary appliances. Cable TV and Internet are available. There are inbuilt wardrobes both in the corridor and in the kitchen. The indicated price includes the furniture and appliances. All the necessary shops are located nearby. ,40.17891438,44.51520041
